HON,length,start,end,hits,distance
New_NPC (81),0.011,5.872,5.883,2,11.149
PlantPot_A (1),0.0,5.894,5.894,1,30.025
New_NPC (81),0.0,5.905,5.905,1,11.264
PlantPot_A (1),0.122,5.917,6.039,12,29.976
New_NPC (81),0.0,6.05,6.05,1,10.948
PlantPot_A (1),0.0,6.061,6.061,1,29.977
New_NPC (81),0.011,6.072,6.083,2,10.859
PlantPot_A (1),0.011,6.094,6.105,2,30.603
face_81,0.0,6.117,6.117,1,10.813
PlantPot_A (1),0.088,6.128,6.216,9,31.136
face_81,0.078,6.227,6.305,8,10.513
New_NPC (81),0.0,6.316,6.316,1,10.391
face_81,0.0,6.327,6.327,1,10.409
New_NPC (81),0.244,6.338,6.582,23,10.13
face_81,0.0,6.594,6.594,1,9.981
New_NPC (81),0.0,6.605,6.605,1,9.936
face_81,0.0,6.616,6.616,1,10.009
New_NPC (81),0.0,6.627,6.627,1,9.87
face_81,0.0,6.638,6.638,1,9.924
New_NPC (81),0.068,6.649,6.717,7,9.782
face_81,0.0,6.727,6.727,1,9.853
New_NPC (81),0.011,6.738,6.749,2,9.712
PlantPot_A (1),0.0,6.761,6.761,1,30.286
B001,0.01,6.772,6.782,2,36.399
New_NPC (73),0.023,6.794,6.817,3,16.385
B017 (3),0.0,6.828,6.828,1,34.249
New_NPC (73),0.011,6.839,6.85,2,16.364
B017 (3),0.244,6.86,7.104,23,33.911
New_NPC (73),0.0,7.116,7.116,1,15.929
B017 (3),0.012,7.126,7.138,2,31.147
PlantPot_A (2),0.022,7.149,7.171,3,17.647
Chairs (4),0.0,7.182,7.182,1,17.897
Sitting_NPC (413),0.0,7.193,7.193,1,17.466
B026 (4),0.0,7.204,7.204,1,23.672
Sitting_NPC (413),0.0,7.215,7.215,1,17.459
B026 (4),0.044,7.227,7.271,5,23.799
Sitting_NPC (413),0.0,7.282,7.282,1,17.392
B026 (4),0.011,7.293,7.304,2,23.808
Sitting_NPC (413),0.0,7.315,7.315,1,17.473
B026 (4),0.212,7.326,7.538,20,23.876
B22 1 (3),0.0,7.549,7.549,1,24.412
B026 (4),0.0,7.56,7.56,1,23.922
Chairs (6),0.023,7.571,7.594,3,14.322
Sitting_NPC (4061),0.144,7.605,7.749,14,14.581
B026 (4),0.022,7.76,7.782,3,23.732
baum ld0(enhanced),0.022,7.961,7.983,3,18.585
B22 1 (3),0.044,7.995,8.039,5,25.195
baum ld0(enhanced),0.0,8.05,8.05,1,18.861
B22 1 (3),0.0,8.061,8.061,1,25.194
baum ld0(enhanced),0.011,8.072,8.083,2,18.725
B22 1 (3),0.067,8.095,8.162,7,25.114
baum ld0(enhanced),0.31,8.172,8.482,29,18.333
B017 (3),0.41,8.493,8.903,38,31.55
B22 1 (3),0.0,8.914,8.914,1,28.521
baum ld0(enhanced),0.0,8.926,8.926,1,17.625
B011 (2),0.637,9.202,9.839,58,25.175
baum ld1(enhanced),0.011,9.85,9.861,2,19.449
builds (3),0.265,9.873,10.138,25,72.927
builds (1),0.333,10.149,10.482,31,53.493
baum ld1(enhanced),0.0,10.494,10.494,1,31.697
builds (1),0.011,10.505,10.516,2,48.65
baum ld1(enhanced),0.0,10.527,10.527,1,31.265
builds (1),0.0,10.538,10.538,1,48.524
baum ld1(enhanced),0.034,10.549,10.583,4,31.316
builds (1),0.056,10.594,10.65,6,48.37
baum ld1(enhanced),0.011,10.661,10.672,2,31.24
builds (1),0.056,10.683,10.739,6,46.422
BridgeSlope_Simple (1),0.0,10.75,10.75,1,33.577
builds (1),0.422,10.761,11.183,39,45.223
Sky,0.011,11.194,11.205,2,225.327
5 (3),0.011,11.216,11.227,2,77.926
Sky (4),0.012,11.238,11.25,2,235.928
Sky,0.033,11.261,11.294,4,233.203
Sky (4),0.0,11.306,11.306,1,235.861
Sky,0.055,11.317,11.372,6,233.487
Sky (4),0.011,11.383,11.394,2,235.688
Sky,0.011,11.406,11.417,2,234.321
Sky (4),0.0,11.428,11.428,1,235.707
Sky,0.011,11.439,11.45,2,232.376
Sky (4),0.066,11.461,11.527,7,235.778
Sky,1.443,11.539,12.982,131,153.353
baum ld1(enhanced),0.022,12.993,13.015,3,18.078
Sky,0.033,13.026,13.059,4,159.503
baum ld1(enhanced),0.0,13.071,13.071,1,18.604
Sky,0.0,13.081,13.081,1,159.653
baum ld1(enhanced),0.467,13.215,13.682,43,16.508
store2,0.022,13.693,13.715,3,33.092
metalBench (6),0.0,13.727,13.727,1,19.923
Sitting_NPC (406),0.0,13.738,13.738,1,19.939
metalBench (6),0.0,13.749,13.749,1,19.923
Sitting_NPC (406),0.044,13.76,13.804,5,19.951
metalBench (6),0.0,13.815,13.815,1,19.944
Sitting_NPC (406),0.011,13.827,13.838,2,20.082
Sitting_NPC (4051),0.289,13.849,14.138,27,19.719
face_4051,0.067,14.149,14.216,7,19.878
store2,0.121,14.227,14.348,12,32.697
face_4051,0.034,14.359,14.393,4,19.872
Bush_qilgP2_6x6x4_PF (43),0.0,14.404,14.404,1,55.328
face_4051,0.0,14.415,14.415,1,19.897
Bush_qilgP2_6x6x4_PF (43),0.0,14.426,14.426,1,55.244
store2,0.0,14.437,14.437,1,33.135
face_4051,0.012,14.448,14.46,2,19.909
Sitting_NPC (406),0.0,14.471,14.471,1,20.177
store2,0.0,14.482,14.482,1,31.533
BridgeSlope_Simple (1),0.022,14.493,14.515,3,40.9
Sitting_NPC (415),0.0,14.526,14.526,1,26.628
face_415,0.0,14.537,14.537,1,26.662
Sitting_NPC (415),0.0,14.548,14.548,1,26.498
metalBench (8),0.056,14.559,14.615,6,26.083
BridgeSlope_Simple (1),0.0,14.626,14.626,1,40.078
metalBench (8),0.0,14.637,14.637,1,25.874
face_415,0.011,14.648,14.659,2,26.616
BridgeSlope_Simple (1),0.0,14.67,14.67,1,40.118
metalBench (8),0.0,14.681,14.681,1,25.855
BridgeSlope_Simple (1),0.0,14.693,14.693,1,39.99
face_415,0.0,14.703,14.703,1,26.691
BridgeSlope_Simple (1),0.012,14.714,14.726,2,40.018
face_415,0.0,14.737,14.737,1,26.598
BridgeSlope_Simple (1),0.0,14.748,14.748,1,39.932
face_415,0.0,14.759,14.759,1,26.639
Sitting_NPC (415),0.0,14.77,14.77,1,26.541
BridgeSlope_Simple (1),0.0,14.781,14.781,1,39.82
face_415,0.0,14.793,14.793,1,26.624
metalBench (8),0.0,14.803,14.803,1,25.893
Sitting_NPC (415),0.0,14.815,14.815,1,26.523
metalBench (8),0.011,14.826,14.837,2,25.988
face_415,0.0,14.848,14.848,1,26.643
Sitting_NPC (415),0.0,14.859,14.859,1,26.552
face_415,0.034,14.87,14.904,4,26.624
Sitting_NPC (415),0.022,14.915,14.937,3,26.507
metalBench (8),0.133,14.948,15.081,13,25.931
streetLight2 (37),0.0,15.092,15.092,1,9.542
BridgeSlope_Simple (1),0.532,15.104,15.636,49,33.757
New_NPC (483),0.289,15.647,15.936,27,12.646
New_NPC (45),0.045,15.947,15.992,5,17.849
New_NPC (483),0.0,16.002,16.002,1,12.41
New_NPC (45),0.012,16.013,16.025,2,17.644
New_NPC (483),0.0,16.036,16.036,1,12.329
New_NPC (45),0.033,16.047,16.08,4,17.468
New_NPC (483),0.0,16.092,16.092,1,12.285
New_NPC (45),0.012,16.102,16.114,2,17.282
Sitting_NPC (428),0.0,16.125,16.125,1,12.089
Terrain,0.278,16.136,16.414,26,25.306
Sitting_NPC (422),0.0,16.425,16.425,1,8.249
BridgeSlope_Simple (1),0.044,16.436,16.48,5,35.202
Terrain,0.0,16.492,16.492,1,33.092
BridgeSlope_Simple (1),0.044,16.503,16.547,5,35.429
Terrain,0.0,16.558,16.558,1,32.438
BridgeSlope_Simple (1),0.044,16.57,16.614,5,35.304
PlantPot_A (4),0.3,16.625,16.925,28,27.329
New_NPC (61),0.011,16.936,16.947,2,32.686
PlantPot_A (4),0.0,16.958,16.958,1,27.738
New_NPC (61),0.122,16.969,17.091,12,31.9
builds (1),0.012,17.102,17.114,2,54.445
B014 (2),0.188,17.125,17.313,18,27.497
streetLight2 (34),0.0,17.324,17.324,1,9.902
PlantPot_A (3),0.0,17.336,17.336,1,17.715
B011 (2),0.233,17.347,17.58,22,22.706
B026 (4),0.0,17.591,17.591,1,22.355
face_420,0.0,17.602,17.602,1,13.82
Sitting_NPC (420),0.0,17.613,17.613,1,13.621
face_420,0.0,17.624,17.624,1,13.706
Sitting_NPC (420),0.0,17.636,17.636,1,13.592
face_420,0.012,17.646,17.658,2,13.708
B026 (4),0.0,17.669,17.669,1,22.305
face_420,0.0,17.68,17.68,1,13.67
B026 (4),0.054,17.691,17.745,5,22.218
face_420,0.022,17.756,17.778,3,13.443
B026 (4),0.156,17.789,17.945,15,24.087
B22 1 (3),0.0,17.956,17.956,1,25.444
PlantPot_A (2),0.011,17.967,17.978,2,18.574
B017 (3),0.022,17.989,18.011,3,34.617
B001,0.166,18.023,18.189,16,38.228
PlantPot_A (1),0.011,18.2,18.211,2,33.373
B013,0.166,18.222,18.388,16,56.711
B027,0.0,18.399,18.399,1,60.056
B013,0.023,18.41,18.433,3,58.273
B027,0.0,18.444,18.444,1,67.795
PlantPot_A,0.166,18.455,18.621,16,54.233
streetLight2 (15),0.0,18.633,18.633,1,89.112
PlantPot_A,0.0,18.644,18.644,1,54.212
streetLight2 (15),0.0,18.655,18.655,1,89.045
Bush_b1_4x4x4_PF_baked_single (1),0.033,18.666,18.699,4,102.809
PlantPot_A,0.0,18.71,18.71,1,54.176
trashcan_squarePrefab,0.0,18.722,18.722,1,70.082
Lod_1,0.333,18.733,19.066,31,21.978
streetLight2 (38),0.0,19.077,19.077,1,61.313
EU_TrafficLight_01,0.0,19.088,19.088,1,95.356
Bush_qilgP2_6x6x4_PF (15),0.011,19.099,19.11,2,113.126
Lod_1,0.0,19.121,19.121,1,22.479
Bush_d1_6x6x4_COL_PRIM_CAPSULE,0.0,19.132,19.132,1,102.428
B39,0.011,19.144,19.155,2,171.2
streetLight2 (10),0.033,19.166,19.199,4,95.667
Bush_qilgP2_6x6x4_PF (15),0.067,19.21,19.277,7,112.724
streetLight2 (10),0.0,19.288,19.288,1,95.517
Bush_qilgP2_6x6x4_PF (15),0.0,19.299,19.299,1,112.332
Lod_1,0.222,19.31,19.532,21,22.104
streetLight2 (10),0.0,19.543,19.543,1,95.201
Bush_qilgP2_6x6x4_PF (15),0.011,19.554,19.565,2,112.708
streetLight2 (10),0.0,19.576,19.576,1,95.133
Bush_d1_6x6x4_COL_PRIM_CAPSULE,0.0,19.587,19.587,1,101.444
Lod_1,0.022,19.599,19.621,3,21.411
Bush_qilgP2_6x6x4_PF (19),0.0,19.632,19.632,1,122.623
PlantPot_A (5),0.0,19.644,19.644,1,71.163
streetLight2 (32),0.011,19.654,19.665,2,33.986
Busstop,0.0,19.676,19.676,1,133.234
Bush_d1_6x6x4_COL_PRIM_CAPSULE,0.011,19.688,19.699,2,121.325
baum ld1(enhanced),0.0,19.71,19.71,1,118.244
baum ld2(enhanced),0.0,19.721,19.721,1,115.298
Bush_qilgP2_6x6x4_PF (20),0.0,19.732,19.732,1,111.901
baum ld1(enhanced),0.0,19.743,19.743,1,117.596
Bush_qilgP2_6x6x4_PF (20),0.011,19.755,19.766,2,111.533
baum ld1(enhanced),0.0,19.777,19.777,1,118.197
Bush_qilgP2_6x6x4_PF (20),0.0,19.788,19.788,1,111.918
baum ld1(enhanced),0.0,19.799,19.799,1,117.722
Lod_1,0.022,19.81,19.832,3,21.67
baum ld2(enhanced),0.0,19.843,19.843,1,102.82
B026 (4),0.166,20.165,20.331,16,21.402
Chairs (7),0.0,20.342,20.342,1,11.114
can01 (4),0.0,20.353,20.353,1,12.027
Sitting_NPC (420),0.0,20.365,20.365,1,11.626
Chairs (7),0.0,20.375,20.375,1,11.592
Chairs (5),0.022,20.387,20.409,3,13.369
Chairs (7),0.0,20.42,20.42,1,12.297
Chairs (5),0.0,20.431,20.431,1,13.888
Chairs (7),0.0,20.443,20.443,1,11.952
Chairs (5),0.0,20.454,20.454,1,13.139
Chairs (7),0.033,20.465,20.498,4,11.041
Chairs (5),0.0,20.51,20.51,1,13.015
Chairs (7),0.067,20.521,20.588,7,11.31
New_NPC (61),0.0,20.599,20.599,1,6.985
PlantPot_A (3),0.212,20.611,20.823,20,15.831
New_NPC (95.1),0.022,20.834,20.856,3,15.698
B014 (2),0.0,20.867,20.867,1,26.957
New_NPC (95.1),0.034,20.878,20.912,4,15.831
B014 (2),0.011,20.923,20.934,2,27.01
New_NPC (95.1),0.011,20.945,20.956,2,15.796
PlantPot_A (3),0.0,20.967,20.967,1,16.657
B014 (2),0.122,20.979,21.101,12,26.858
New_NPC (95.1),0.0,21.112,21.112,1,15.903
B014 (2),0.011,21.124,21.135,2,26.832
New_NPC (95.1),0.022,21.146,21.168,3,15.783
B014 (2),0.0,21.179,21.179,1,27.054
BridgeSlope_Simple (1),0.044,21.379,21.423,5,33.684
PlantPot_A (4),0.0,21.435,21.435,1,26.843
BridgeSlope_Simple (1),0.0,21.446,21.446,1,33.66
PlantPot_A (4),0.022,21.457,21.479,3,26.984
BridgeSlope_Simple (1),0.011,21.49,21.501,2,32.538
streetLight2 (35),0.0,21.512,21.512,1,28.523
Terrain,0.033,21.523,21.556,4,26.311
BridgeSlope_Simple (1),0.0,21.568,21.568,1,30.718
Terrain,0.011,21.579,21.59,2,26.41
BridgeSlope_Simple (1),0.0,21.601,21.601,1,30.67
Terrain,0.011,21.612,21.623,2,28.279
BridgeSlope_Simple (1),0.034,21.634,21.668,4,30.578
Terrain,0.0,21.679,21.679,1,28.56
BridgeSlope_Simple (1),0.022,21.69,21.712,3,30.485
Terrain,0.0,21.723,21.723,1,28.273
BridgeSlope_Simple (1),0.011,21.734,21.745,2,30.438
Terrain,0.0,21.757,21.757,1,27.822
BridgeSlope_Simple (1),0.067,21.767,21.834,7,30.341
Terrain,0.033,21.845,21.878,4,26.58
NPC-627,0.0,21.89,21.89,1,25.215
Bench (3),0.0,21.901,21.901,1,12.093
Sitting_NPC (410),0.0,21.912,21.912,1,6.942
Terrain,0.011,21.923,21.934,2,16.906
Sitting_NPC (422),0.0,21.945,21.945,1,7.578
Terrain,0.145,21.956,22.101,14,17.118
Bench (3),0.0,22.112,22.112,1,11.055
Terrain,0.012,22.123,22.135,2,14.486
Sitting_NPC (410),0.0,22.145,22.145,1,6.531
Terrain,0.066,22.156,22.222,7,15.668
Sitting_NPC (422),0.056,22.233,22.289,6,6.999
Terrain,0.0,22.3,22.3,1,15.706
Sitting_NPC (410),0.0,22.311,22.311,1,6.328
Sitting_NPC (422),0.011,22.322,22.333,2,6.861
Sitting_NPC (410),0.0,22.344,22.344,1,6.193
Sitting_NPC (422),0.034,22.355,22.389,4,6.866
Sitting_NPC (410),0.044,22.4,22.444,5,6.056
face_410,0.0,22.455,22.455,1,6.084
Sitting_NPC (410),0.0,22.467,22.467,1,5.934
face_410,0.0,22.478,22.478,1,6.025
Sitting_NPC (422),0.0,22.489,22.489,1,6.711
face_410,0.011,22.5,22.511,2,5.962
Sitting_NPC (422),0.056,22.522,22.578,6,6.635
face_410,0.033,22.589,22.622,4,5.813
Sitting_NPC (422),0.022,22.633,22.655,3,6.45
face_422,0.055,22.667,22.722,6,6.445
Sitting_NPC (422),0.0,22.733,22.733,1,6.353
face_422,0.011,22.744,22.755,2,6.381
Sitting_NPC (422),0.012,22.766,22.778,2,6.297
face_422,0.0,22.789,22.789,1,6.349
Sitting_NPC (422),0.022,22.798,22.82,3,6.197
face_422,0.089,22.831,22.92,9,6.167
Sitting_NPC (422),0.022,22.931,22.953,3,5.998
Terrain,0.012,22.964,22.976,2,26.585
NPC-625,0.056,22.986,23.042,6,23.893
BridgeSlope_Simple (1),0.0,23.053,23.053,1,28.361
NPC-625,0.0,23.064,23.064,1,23.929
BridgeSlope_Simple (1),0.0,23.075,23.075,1,28.331
NPC-625,0.135,23.086,23.221,13,23.691
PlantPot_A (4),0.111,23.466,23.577,11,23.689
BridgeSlope_Simple (1),0.223,23.588,23.811,21,30.424
PlantPot_A (4),0.011,23.822,23.833,2,23.178
materialA150,0.0,23.844,23.844,1,40.97
New_NPC (73),0.056,23.855,23.911,6,23.596
builds (1),0.0,23.922,23.922,1,49.107
New_NPC (73),0.166,23.933,24.099,16,23.67
face_73,0.0,24.11,24.11,1,23.896
New_NPC (73),0.122,24.122,24.244,12,23.791
builds (1),0.2,24.255,24.455,19,50.243
pavement3 (4),0.0,24.466,24.466,1,27.55
Terrain,0.022,24.477,24.499,3,26.289
PlantPot_A (4),0.278,24.51,24.788,26,21.332
Terrain,0.356,24.799,25.155,33,16.192
B014 (2),0.012,25.332,25.344,2,23.219
Terrain,0.012,25.354,25.366,2,20.504
B014 (2),0.122,25.377,25.499,12,23.019
New_NPC (95.1),0.0,25.51,25.51,1,18.111
builds (1),0.489,25.521,26.01,45,43.523
PlantPot_A (4),0.3,26.021,26.321,28,18.58
materialC150,0.0,26.333,26.333,1,28.847
New_NPC (73),0.0,26.344,26.344,1,24.081
pavement3 (4),0.0,26.355,26.355,1,26.691
materialA150,0.022,26.366,26.388,3,41.069
New_NPC (73),0.134,26.399,26.533,13,23.95
materialE150,0.0,26.543,26.543,1,42.913
New_NPC (73),0.199,26.555,26.754,19,23.791
materialE150,0.044,26.766,26.81,5,42.616
New_NPC (73),0.1,26.821,26.921,10,23.492
builds (1),0.355,26.932,27.287,33,42.394
New_NPC (73),0.056,27.298,27.354,6,22.907
PlantPot_A (4),0.0,27.599,27.599,1,16.399
Terrain,0.0,27.61,27.61,1,16.238
PlantPot_A (4),0.033,27.621,27.654,4,16.369
Terrain,0.0,27.665,27.665,1,16.212
PlantPot_A (4),0.199,27.677,27.876,19,16.154
Terrain,0.0,27.887,27.887,1,15.641
PlantPot_A (4),0.011,27.899,27.91,2,16.447
pavement3 (4),0.0,27.921,27.921,1,24.442
New_NPC (95.1),0.0,27.932,27.932,1,19.254
New_NPC (73),0.199,27.943,28.142,19,21.955
pavement3 (4),0.0,28.153,28.153,1,26.52
B014 (2),1.067,28.164,29.231,97,17.169
builds (1),0.01,29.243,29.253,2,42.77
New_NPC (95.1),0.022,29.265,29.287,3,19.566
New_NPC (73),0.0,29.298,29.298,1,21.352
New_NPC (95.1),0.277,29.309,29.586,26,19.594
builds (1),0.066,29.598,29.664,7,39.365
New_NPC (95.1),0.011,29.675,29.686,2,19.622
builds (1),0.021,29.698,29.719,3,37.531
PlantPot_A (4),0.3,29.731,30.031,28,13.594
BridgeSlope_Simple (1),0.533,30.042,30.575,28,19.427
NPC-627,0.256,30.586,30.842,24,14.829
BridgeSlope_Simple (1),0.188,30.853,31.041,18,21.467
NPC-625,0.0,31.052,31.052,1,15.194
BridgeSlope_Simple (1),0.033,31.063,31.096,4,19.902
NPC-625,0.0,31.108,31.108,1,15.274
BridgeSlope_Simple (1),0.0,31.119,31.119,1,19.89
NPC-627,0.044,31.13,31.174,5,14.375
BridgeSlope_Simple (1),0.0,31.185,31.185,1,19.745
NPC-625,0.056,31.196,31.252,6,14.986
face_625,0.011,31.263,31.274,2,15.058
NPC-625,0.022,31.286,31.308,3,14.932
face_625,0.432,31.319,31.751,40,14.652
NPC-625,0.0,31.762,31.762,1,14.277
NPC-627,0.179,31.773,31.952,17,13.255
BridgeSlope_Simple (1),0.0,31.963,31.963,1,18.317
NPC-627,0.289,31.974,32.263,27,12.924
face_627,0.0,32.274,32.274,1,12.969
NPC-627,0.078,32.285,32.363,8,12.558
BridgeSlope_Simple (1),0.743,32.375,33.118,68,16.213
builds (1),0.0,33.374,33.374,1,38.744
materialA150,0.033,33.385,33.418,4,32.365
PlantPot_A (4),0.034,33.429,33.463,4,10.693
materialA150,0.0,33.474,33.474,1,32.52
materialE150,0.0,33.485,33.485,1,37.173
builds (1),0.0,33.496,33.496,1,39.45
materialE150,0.0,33.507,33.507,1,37.046
materialA150,0.023,33.518,33.541,3,34.44
builds (1),0.0,33.552,33.552,1,39.411
materialC150,0.0,33.563,33.563,1,26.779
materialA150,0.022,33.574,33.596,3,33.581
builds (1),0.011,33.607,33.618,2,46.097
infoKiosk02,0.189,33.629,33.818,18,46.315
builds (1),0.0,33.829,33.829,1,51.587
infoKiosk02,0.0,33.84,33.84,1,46.634
builds (1),0.0,33.852,33.852,1,51.515
infoKiosk02,0.09,33.862,33.952,9,46.41
builds (1),0.467,33.962,34.429,43,48.689
BridgeSlope_Simple (1),0.2,34.673,34.873,19,15.217
builds (1),0.578,34.884,35.462,53,23.088
5 (3),0.022,35.473,35.495,3,57.934
pine_004_clump02_C,0.022,35.506,35.528,3,29.57
Pine_005_02,0.31,35.54,35.85,29,28.271
BridgeSlope_Simple (1),0.499,35.861,36.36,46,23.179
retirementHome2 (2),0.0,36.371,36.371,1,116.749
BridgeSlope_Simple (1),0.145,36.382,36.527,14,47.254
PlantPot_A (10),0.0,36.538,36.538,1,25.401
BridgeSlope_Simple (1),0.034,36.549,36.583,4,34.541
streetLight2 (40),0.0,36.594,36.594,1,17.457
BridgeSlope_Simple (1),0.266,36.605,36.871,25,16.672
NPC-625,0.0,36.882,36.882,1,9.649
BridgeSlope_Simple (1),0.011,36.893,36.904,2,15.788
face_625,0.089,36.915,37.004,9,9.593
BridgeSlope_Simple (1),0.011,37.015,37.026,2,15.201
face_625,0.011,37.038,37.049,2,9.452
NPC-625,0.0,37.06,37.06,1,9.516
BridgeSlope_Simple (1),0.0,37.071,37.071,1,15.127
face_625,0.011,37.082,37.093,2,9.459
BridgeSlope_Simple (1),0.101,37.104,37.205,10,14.932
face_627,0.011,37.216,37.227,2,8.367
NPC-627,0.0,37.238,37.238,1,8.356
BridgeSlope_Simple (1),0.011,37.25,37.261,2,14.271
NPC-627,0.011,37.272,37.283,2,8.184
BridgeSlope_Simple (1),0.0,37.294,37.294,1,14.245
face_627,0.011,37.305,37.316,2,8.221
NPC-627,0.0,37.328,37.328,1,8.051
BridgeSlope_Simple (1),0.033,37.339,37.372,4,12.953
streetLight2 (35),0.222,37.55,37.772,21,7.792
BridgeSlope_Simple (1),0.766,37.783,38.549,70,13.399
builds (1),0.0,38.56,38.56,1,31.151
PlantPot_A (4),0.378,38.571,38.949,35,6.599
builds (3),0.0,38.96,38.96,1,46.267
PlantPot_A (4),0.322,38.971,39.293,30,6.023
builds (1),0.478,39.304,39.782,44,30.488
New_NPC (64),0.0,39.793,39.793,1,13.112
builds (1),0.022,39.804,39.826,3,28.427
BridgeSlope_Simple (1),0.0,39.837,39.837,1,13.471
builds (1),0.0,39.848,39.848,1,28.222
BridgeSlope_Simple (1),0.0,39.859,39.859,1,13.407
builds (1),0.123,39.87,39.993,12,28.397
New_NPC (64),0.067,40.004,40.071,7,12.237
builds (1),0.078,40.082,40.16,8,29.12
BridgeSlope_Simple (1),0.011,40.171,40.182,2,12.396
builds (1),0.0,40.193,40.193,1,25.451
BridgeSlope_Simple (1),0.089,40.204,40.293,9,11.999
builds (1),0.022,40.304,40.326,3,25.83
BridgeSlope_Simple (1),0.378,40.337,40.715,35,11.546
builds (1),0.444,40.726,41.17,41,37.051
builds (3),0.0,41.181,41.181,1,48.463
baum ld1(enhanced),0.0,41.192,41.192,1,4.085
builds (3),0.0,41.204,41.204,1,45.469
baum ld0(enhanced),0.244,41.215,41.459,23,29.241
baum ld1(enhanced),0.0,41.47,41.47,1,3.553
PlantPot_A (4),0.345,41.481,41.826,32,2.871
builds (1),0.022,41.837,41.859,3,40.002
builds (3),0.011,41.87,41.881,2,47.501
baum ld1(enhanced),0.234,41.892,42.126,22,3.834
builds (3),0.0,42.137,42.137,1,46.291
baum ld0(enhanced),0.155,42.148,42.303,15,28.777
baum ld1(enhanced),0.011,42.314,42.325,2,3.817
builds (3),0.0,42.336,42.336,1,49.597
builds (1),0.478,42.347,42.825,44,31.279
BridgeSlope_Simple (1),1.231,42.936,44.167,87,9.961
NPC-625,0.0,44.178,44.178,1,9.889
NPC-627,0.056,44.189,44.245,6,8.911
face_627,0.011,44.256,44.267,2,9.02
NPC-627,0.334,44.278,44.612,31,8.609
NPC-625,0.067,44.623,44.69,7,9.128
NPC-627,0.0,44.701,44.701,1,8.338
NPC-625,0.0,44.712,44.712,1,9.04
NPC-627,0.012,44.723,44.735,2,8.301
NPC-625,0.0,44.746,44.746,1,8.992
NPC-627,0.0,44.757,44.757,1,8.17
NPC-625,0.067,44.768,44.835,7,8.923
NPC-627,0.0,44.846,44.846,1,7.855
PlantPot_A (10),0.011,44.857,44.868,2,25.851
Pavement_D_A (1),0.0,44.879,44.879,1,50.334
store2,0.011,44.89,44.901,2,35.353
New_NPC (34),0.022,44.912,44.934,3,33.901
Terrain,0.0,44.945,44.945,1,39.868
New_NPC (34),0.012,44.956,44.968,2,33.721
Terrain,0.0,44.979,44.979,1,41.535
Pavement_D_A (1),0.0,44.99,44.99,1,48.651
New_NPC (34),0.0,45.001,45.001,1,33.727
Pavement_D_A (1),0.011,45.011,45.022,2,47.375
Pavement_D_A,0.011,45.034,45.045,2,64.354
PlantPot_B_V03,0.0,45.056,45.056,1,69.446
store2,0.022,45.067,45.089,3,53.974
Pavement_D_A (1),0.0,45.1,45.1,1,52.842
Pavement_D_A,0.0,45.111,45.111,1,66.906
Pavement_D_A (1),0.011,45.123,45.134,2,50.902
Terrain,0.011,45.145,45.156,2,42.065
Pavement_D_A (1),0.0,45.167,45.167,1,44.788
Terrain,0.0,45.178,45.178,1,34.779
Pavement_D_A (1),0.0,45.189,45.189,1,44.12
Terrain,0.067,45.2,45.267,7,38.203
