HON,length,start,end,hits,distance
Terrain,0.0,5.387,5.387,1,25.416
PlantPot_A (4),0.0,5.397,5.397,1,25.581
Terrain,0.521,5.409,5.93,48,21.09
pavement3 (4),0.0,5.942,5.942,1,36.278
B014 (2),0.577,5.953,6.53,53,28.665
materialE150,0.0,6.542,6.542,1,52.326
Terrain,0.711,6.553,7.264,65,14.636
builds (1),0.089,7.275,7.364,9,49.208
materialE150,0.0,7.374,7.374,1,48.185
builds (1),0.111,7.386,7.497,11,49.122
materialC150,0.0,7.508,7.508,1,35.909
pavement3 (4),0.033,7.519,7.552,4,31.996
materialC150,0.0,7.564,7.564,1,35.649
materialA150,0.022,7.575,7.597,3,43.994
builds (1),0.055,7.608,7.663,6,48.587
materialE150,0.0,7.674,7.674,1,47.294
builds (1),0.345,7.685,8.03,32,51.468
PlantPot_A (4),0.078,8.041,8.119,8,21.769
Terrain,0.055,8.13,8.185,6,20.863
PlantPot_A (4),0.033,8.197,8.23,4,21.692
Terrain,0.144,8.241,8.385,14,21.181
materialC150,0.0,8.396,8.396,1,34.309
B014 (2),0.834,8.407,9.241,76,23.013
builds (1),0.011,9.252,9.263,2,47.167
pavement3 (4),0.0,9.274,9.274,1,27.958
materialA150,0.0,9.285,9.285,1,39.848
materialC150,0.0,9.296,9.296,1,32.795
materialA150,0.0,9.307,9.307,1,36.055
materialC150,0.0,9.318,9.318,1,31.482
pavement3 (4),0.067,9.329,9.396,7,27.632
materialC150,0.0,9.407,9.407,1,29.552
pavement3 (4),0.034,9.418,9.452,4,28.577
materialC150,0.0,9.463,9.463,1,29.934
materialA150,0.044,9.474,9.518,5,36.365
materialC150,0.189,9.529,9.718,18,29.376
materialA150,0.0,9.729,9.729,1,35.434
pavement3 (4),0.1,9.74,9.84,10,24.458
Terrain,0.023,9.851,9.874,3,23.678
pavement3 (4),0.044,9.885,9.929,5,24.18
Terrain,0.0,9.94,9.94,1,23.535
materialC150,0.0,9.951,9.951,1,47.106
B014 (2),0.467,9.962,10.429,43,19.077
pavement3 (4),0.0,10.44,10.44,1,25.124
Terrain,0.056,10.451,10.507,6,21.923
materialC150,0.0,10.518,10.518,1,27.11
pavement3 (4),0.022,10.529,10.551,3,25.356
Terrain,0.078,10.562,10.64,8,24.436
pavement3 (4),0.011,10.651,10.662,2,24.944
Terrain,0.333,10.673,11.006,31,15.04
pavement3 (4),0.0,11.018,11.018,1,26.085
builds (1),0.177,11.029,11.206,17,43.737
B014 (2),0.741,11.218,11.959,68,17.496
materialA150,0.0,11.97,11.97,1,37.135
Terrain,0.369,11.981,12.35,34,14.783
pavement3 (4),0.0,12.361,12.361,1,19.078
materialC150,0.01,12.373,12.383,2,28.071
materialA150,0.033,12.395,12.428,4,36.48
materialC150,0.0,12.439,12.439,1,30.341
materialD150,0.0,12.45,12.45,1,30.672
materialA150,0.034,12.461,12.495,4,35.147
materialC150,0.122,12.506,12.628,12,26.72
Terrain,0.011,12.639,12.65,2,20.315
PlantPot_A (4),0.889,12.661,13.55,81,12.555
BridgeSlope_Simple (1),0.322,13.561,13.883,30,19.693
PlantPot_A (4),1.277,13.894,15.171,116,11.596
builds (1),0.056,15.182,15.238,6,31.108
New_NPC (61),0.022,15.249,15.271,3,22.513
builds (1),0.0,15.282,15.282,1,31.019
PlantPot_A (4),0.345,15.293,15.638,32,10.171
Terrain,0.177,15.649,15.826,17,8.932
New_NPC (61),0.721,15.838,16.559,66,14.379
builds (1),0.0,16.571,16.571,1,30.684
New_NPC (61),0.044,16.582,16.626,5,11.353
builds (1),0.067,16.637,16.704,7,30.824
New_NPC (61),0.044,16.715,16.759,5,10.161
builds (1),0.056,16.77,16.826,6,30.974
New_NPC (61),0.233,16.837,17.07,22,8.464
builds (1),0.189,17.081,17.27,18,31.979
face_61,0.133,17.281,17.414,13,4.881
builds (1),0.178,17.426,17.604,17,35.076
pavement3 (4),0.234,17.614,17.848,22,15.045
Terrain,0.333,17.859,18.192,31,9.554
B014 (2),0.189,18.203,18.392,18,9.422
builds (1),0.011,18.403,18.414,2,35.848
materialA150,0.045,18.425,18.47,5,29.647
builds (1),0.022,18.481,18.503,3,36.532
materialE150,0.0,18.514,18.514,1,33.266
materialA150,0.144,18.525,18.669,14,31.546
materialC150,0.0,18.681,18.681,1,20.052
pavement3 (4),0.0,18.692,18.692,1,12.004
Terrain,0.067,18.703,18.77,7,7.285
PlantPot_A (4),0.155,18.781,18.936,15,6.421
Terrain,0.178,18.947,19.125,17,8.501
pavement3 (4),0.0,19.136,19.136,1,10.907
builds (1),0.022,19.158,19.18,3,35.75
streetLight2 (29),0.001,19.192,19.193,2,22.052
builds (1),0.001,19.214,19.215,2,36.3
materialC150,0.002,19.236,19.238,2,34.779
builds (1),0.311,19.247,19.558,27,35.803
materialE150,0.0,19.569,19.569,1,33.986
materialA150,0.013,19.58,19.593,3,28.555
materialC150,0.244,19.603,19.847,22,24.413
New_NPC (204),0.0,19.858,19.858,1,12.503
infoKiosk02,0.0,19.869,19.869,1,38.43
New_NPC (204),0.0,19.88,19.88,1,12.473
infoKiosk02,0.134,19.891,20.025,13,38.173
New_NPC (204),0.011,20.036,20.047,2,11.826
infoKiosk02,0.011,20.058,20.069,2,38.036
New_NPC (204),0.089,20.08,20.169,9,11.416
face_204,0.022,20.18,20.202,3,11.183
New_NPC (204),0.034,20.213,20.247,4,10.987
face_204,0.577,20.258,20.835,53,10.048
New_NPC (204),0.321,20.847,21.168,30,8.804
face_204,0.0,21.179,21.179,1,8.387
New_NPC (204),0.699,21.191,21.89,64,7.229
face_204,0.055,21.902,21.957,6,5.719
builds (3),0.011,21.968,21.979,2,41.97
face_204,0.034,21.99,22.024,4,5.396
builds (3),0.022,22.035,22.057,3,41.739
face_204,0.078,22.068,22.146,8,4.93
New_NPC (204),0.044,22.157,22.201,5,4.572
materialA150,0.012,22.212,22.224,2,23.373
materialC150,0.011,22.235,22.246,2,17.785
materialA150,0.0,22.257,22.257,1,21.75
materialC150,0.0,22.268,22.268,1,17.812
materialA150,0.0,22.279,22.279,1,20.231
materialC150,0.034,22.29,22.324,4,17.767
materialD150,0.0,22.335,22.335,1,18.902
materialC150,0.289,22.345,22.634,27,16.504
pavement3 (4),0.555,22.646,23.201,51,13.198
materialC150,0.022,23.212,23.234,3,18.928
materialA150,0.0,23.245,23.245,1,23.433
streetLight2 (29),0.022,23.256,23.278,3,16.31
materialA150,0.011,23.29,23.301,2,20.903
streetLight2 (29),0.178,23.312,23.49,17,16.294
materialC150,0.044,23.501,23.545,5,16.738
streetLight2 (29),0.122,23.556,23.678,12,16.11
materialA150,0.0,23.689,23.689,1,19.448
materialC150,0.022,23.701,23.723,3,17.921
pavement3 (4),0.022,23.734,23.756,3,15.475
Rock_Granite_rcCwC_LOD4,0.0,23.767,23.767,1,20.006
RedBush_Var1_Prefab_baked_single (1),0.012,23.778,23.79,2,20.552
Terrain,0.067,23.8,23.867,7,19.565
Rock_Granite_rcCwC_LOD4,0.0,23.878,23.878,1,20.198
Terrain,0.011,23.889,23.9,2,20.391
RedBush_Var1_Prefab_baked_single (1),0.277,23.912,24.189,26,20.46
Terrain,0.0,24.2,24.2,1,18.583
materialC150,0.233,24.212,24.445,22,14.711
pavement3 (4),0.122,24.456,24.578,2,14.669
RedBush_Var1_Prefab_baked_single (1),0.211,24.589,24.8,20,19.318
Rock_Granite_rcCwC_LOD4,0.0,24.811,24.811,1,18.962
RedBush_Var1_Prefab_baked_single (1),0.01,24.823,24.833,2,19.109
Rock_Granite_rcCwC_LOD4,0.0,24.845,24.845,1,18.924
Terrain,0.011,24.856,24.867,2,18.552
Rock_Granite_rcCwC_LOD4,0.011,24.878,24.889,2,18.805
RedBush_Var1_Prefab_baked_single (1),0.078,24.9,24.978,8,18.853
builds (3),0.0,24.989,24.989,1,34.493
RedBush_Var1_Prefab_baked_single (1),0.0,25.0,25.0,1,19.741
builds (3),0.0,25.011,25.011,1,34.435
RedBush_Var1_Prefab_baked_single (1),0.134,25.022,25.156,13,19.252
builds (3),0.0,25.167,25.167,1,34.113
RedBush_Var1_Prefab_baked_single (1),0.022,25.178,25.2,3,19.251
materialE150,0.0,25.211,25.211,1,32.258
RedBush_Var1_Prefab_baked_single (1),0.011,25.222,25.233,2,19.213
builds (3),0.012,25.244,25.256,2,33.938
RedBush_Var1_Prefab_baked_single (1),0.011,25.267,25.278,2,19.235
builds (3),0.943,25.289,26.232,86,33.413
materialA150,0.0,26.243,26.243,1,26.469
pavement3 (4),0.29,26.254,26.544,27,11.052
Terrain,0.0,26.555,26.555,1,13.197
pavement3 (4),0.466,26.566,27.032,43,10.575
materialC150,0.011,27.043,27.054,2,13.362
RedBush_Var1_Prefab_baked_single (1),0.133,27.066,27.199,13,14.647
materialC150,0.967,27.21,28.177,88,8.886
materialA150,0.222,28.188,28.41,21,14.929
materialC150,0.011,28.421,28.432,2,12.632
pavement3 (4),0.011,28.443,28.454,2,8.549
Terrain,0.033,28.465,28.498,4,10.003
pavement3 (4),0.255,28.51,28.765,24,8.222
Terrain,0.067,28.776,28.843,7,9.098
materialC150,0.0,28.854,28.854,1,12.349
RedBush_Var1_Prefab_baked_single (1),0.0,28.865,28.865,1,11.93
materialC150,0.0,28.876,28.876,1,13.575
RedBush_Var1_Prefab_baked_single (1),0.9,28.887,29.787,82,11.196
Rock_Granite_rcCwC_Prefab (1),0.0,29.798,29.798,1,10.134
builds (3),0.289,29.809,30.098,27,26.307
RedBush_Var1_Prefab_baked_single (1),0.455,30.109,30.564,42,10.365
SingleCornerPrefab (6),0.0,30.576,30.576,1,9.692
Terrain,0.012,30.586,30.598,2,7.019
materialC150,0.0,30.609,30.609,1,7.085
pavement3 (4),0.011,30.62,30.631,2,5.989
materialC150,0.0,30.642,30.642,1,6.482
pavement3 (4),0.089,30.653,30.742,9,6.081
materialC150,0.089,30.753,30.842,9,6.742
pavement3 (4),0.011,30.853,30.864,2,5.868
materialC150,0.011,30.875,30.886,2,7.459
materialA150,0.134,30.897,31.031,13,11.801
infoKiosk02,0.266,31.042,31.308,25,22.378
builds (1),0.0,31.319,31.319,1,24.889
infoKiosk02,0.0,31.33,31.33,1,22.553
builds (1),0.011,31.342,31.353,2,24.875
infoKiosk02,0.144,31.364,31.508,14,22.541
builds (3),0.011,31.519,31.53,2,27.647
materialC150,0.0,31.542,31.542,1,21.828
materialA150,0.0,31.553,31.553,1,15.366
RedBush_Var1_Prefab_baked_single (1),0.377,31.564,31.941,35,9.662
builds (3),0.289,31.952,32.241,27,25.554
builds (1),0.233,32.252,32.485,22,18.596
streetLight2 (29),0.299,32.497,32.796,28,4.553
builds (1),0.3,32.807,33.107,28,19.567
infoKiosk02,0.0,33.118,33.118,1,21.966
builds (1),0.166,33.13,33.296,16,26.807
infoKiosk02,0.511,33.307,33.818,47,21.278
builds (1),0.234,33.829,34.063,22,19.427
streetLight2 (29),0.0,34.074,34.074,1,4.156
builds (1),0.022,34.085,34.107,3,16.024
streetLight2 (29),0.022,34.118,34.14,3,4.154
builds (1),0.433,34.151,34.584,40,18.187
infoKiosk02,0.0,34.596,34.596,1,21.833
builds (1),0.011,34.607,34.618,2,24.2
infoKiosk02,0.0,34.629,34.629,1,21.995
builds (1),0.0,34.64,34.64,1,24.138
infoKiosk02,0.455,34.651,35.106,42,21.92
builds (3),0.0,35.118,35.118,1,26.838
pavement3 (2),0.0,35.129,35.129,1,24.42
materialC150,0.022,35.14,35.162,3,14.719
RedBush_Var1_Prefab_baked_single (1),0.022,35.173,35.195,3,9.304
Terrain,0.0,35.206,35.206,1,9.231
RedBush_Var1_Prefab_baked_single (1),0.61,35.218,35.828,56,9.283
Rock_Granite_rcCwC_Prefab (1),0.0,35.839,35.839,1,8.402
builds (3),0.423,35.85,36.273,39,25.037
builds (1),0.355,36.284,36.639,33,17.595
streetLight2 (29),0.322,36.65,36.972,30,4.003
builds (1),0.378,36.983,37.361,35,20.908
builds (3),0.6,37.372,37.972,55,27.24
builds (1),0.3,37.983,38.283,28,22.163
streetLight2 (29),0.222,38.294,38.516,21,4.006
builds (1),0.311,38.527,38.838,29,14.266
streetLight2 (29),0.022,38.849,38.871,3,4.131
builds (1),0.655,38.883,39.538,60,21.326
builds (3),0.244,39.549,39.793,23,27.867
builds (1),0.245,39.804,40.049,23,17.779
streetLight2 (29),0.189,40.06,40.249,18,3.985
builds (1),0.222,40.26,40.482,21,18.675
infoKiosk02,0.244,40.493,40.737,23,21.885
builds (1),0.0,40.748,40.748,1,24.359
infoKiosk02,0.045,40.759,40.804,5,21.94
builds (1),0.023,40.815,40.838,3,20.71
streetLight2 (29),0.022,40.849,40.871,3,4.094
builds (1),0.378,40.937,41.315,35,14.61
streetLight2 (29),0.0,41.326,41.326,1,3.988
builds (1),0.722,41.337,42.059,66,20.058
streetLight2 (29),0.244,42.07,42.314,23,4.075
builds (1),0.299,42.326,42.625,28,14.479
streetLight2 (29),0.766,42.637,43.403,70,4.108
builds (1),0.0,43.414,43.414,1,14.772
streetLight2 (29),0.0,43.425,43.425,1,4.285
builds (1),0.167,43.436,43.603,16,14.761
streetLight2 (29),0.011,43.614,43.625,2,4.254
builds (1),0.233,43.636,43.869,21,14.247
streetLight2 (29),0.356,43.891,44.247,32,4.337
builds (1),1.544,44.258,45.802,124,14.637
streetLight2 (29),0.0,45.813,45.813,1,4.463
builds (1),0.633,45.824,46.457,58,20.554
builds (3),0.233,46.468,46.701,22,28.277
builds (1),0.2,46.712,46.912,19,22.323
streetLight2 (29),0.012,46.923,46.935,2,4.588
builds (1),1.309,46.945,48.254,109,14.243
streetLight2 (29),0.0,48.265,48.265,1,4.84
builds (1),0.469,48.276,48.745,43,23.832
streetLight2 (29),0.0,48.756,48.756,1,4.661
builds (1),0.544,48.767,49.311,50,15.341
streetLight2 (29),0.011,49.322,49.333,2,4.578
builds (1),0.545,49.344,49.889,50,21.877
builds (3),0.0,49.9,49.9,1,28.433
builds (1),0.022,49.911,49.933,3,20.129
streetLight2 (29),0.011,49.944,49.955,2,4.123
builds (1),0.0,49.966,49.966,1,14.899
streetLight2 (29),0.199,49.978,50.177,19,4.133
builds (1),0.323,50.188,50.511,30,13.991
streetLight2 (29),0.666,50.522,51.188,61,3.905
builds (1),0.82,51.199,52.019,75,14.128
streetLight2 (29),0.011,52.03,52.041,2,3.894
builds (1),0.469,52.052,52.521,43,21.016
streetLight2 (29),0.0,52.532,52.532,1,4.623
builds (1),0.578,52.543,53.121,53,15.309
streetLight2 (29),0.344,53.132,53.476,32,6.055
builds (1),0.311,53.487,53.798,29,16.067
streetLight2 (29),0.189,53.809,53.998,18,6.079
builds (1),0.133,54.009,54.142,13,19.012
materialC150,0.0,54.153,54.153,1,18.869
builds (1),0.022,54.165,54.187,3,22.668
infoKiosk02,0.022,54.198,54.22,3,24.173
builds (1),0.034,54.231,54.265,4,29.287
infoKiosk02,0.0,54.276,54.276,1,24.238
pavement3 (2),0.0,54.287,54.287,1,29.134
infoKiosk02,0.0,54.298,54.298,1,24.446
builds (1),0.0,54.309,54.309,1,29.121
infoKiosk02,0.033,54.32,54.353,4,24.288
builds (1),0.0,54.365,54.365,1,29.105
infoKiosk02,0.011,54.376,54.387,2,24.324
builds (1),0.0,54.398,54.398,1,29.104
infoKiosk02,0.011,54.409,54.42,2,24.499
builds (1),0.0,54.431,54.431,1,29.45
infoKiosk02,0.0,54.442,54.442,1,24.149
builds (1),0.022,54.453,54.475,3,22.599
streetLight2 (29),0.101,54.486,54.587,10,6.218
builds (1),0.022,54.598,54.62,3,18.372
streetLight2 (29),0.278,54.631,54.909,26,6.179
materialA150,0.022,55.009,55.031,3,11.688
materialE150,0.0,55.042,55.042,1,15.146
materialA150,0.0,55.053,55.053,1,14.807
materialC150,0.011,55.064,55.075,2,15.204
materialE150,0.0,55.087,55.087,1,15.02
materialA150,0.023,55.097,55.12,3,12.47
materialC150,0.055,55.131,55.186,6,5.836
streetLight2 (29),1.144,55.197,56.341,104,4.835
builds (1),0.667,56.352,57.019,61,19.862
streetLight2 (29),0.011,57.03,57.041,2,3.673
builds (1),0.0,57.052,57.052,1,14.012
streetLight2 (29),0.2,57.063,57.263,19,3.345
builds (1),0.245,57.274,57.519,23,12.989
streetLight2 (29),0.444,57.53,57.974,41,3.085
builds (1),0.278,57.985,58.263,26,13.869
materialC150,0.0,58.274,58.274,1,13.665
streetLight2 (29),0.723,58.285,59.008,66,5.135
builds (1),0.211,59.129,59.34,20,16.988
streetLight2 (29),0.566,59.351,59.917,52,6.906
materialE150,0.0,59.929,59.929,1,16.889
streetLight2 (29),0.877,59.94,60.817,80,8.128
builds (1),0.011,60.828,60.839,2,21.051
streetLight2 (29),0.267,60.85,61.117,25,9.129
builds (1),0.344,61.128,61.472,32,22.256
streetLight2 (29),0.022,61.484,61.506,3,8.382
builds (1),0.011,61.517,61.528,2,19.326
streetLight2 (29),0.0,61.539,61.539,1,8.338
builds (1),0.0,61.55,61.55,1,19.337
streetLight2 (29),0.011,61.561,61.572,2,8.27
materialC150,0.0,61.584,61.584,1,18.294
streetLight2 (29),2.255,61.594,63.849,194,7.214
builds (1),0.489,63.86,64.349,45,15.995
streetLight2 (29),0.3,64.36,64.66,28,6.559
builds (1),0.167,64.671,64.838,16,20.197
infoKiosk02,0.0,64.849,64.849,1,24.278
builds (1),0.044,64.86,64.904,5,26.462
infoKiosk02,0.511,64.915,65.426,47,24.216
builds (1),1.1,65.437,66.537,100,15.031
materialA150,0.011,66.548,66.559,2,9.912
materialC150,0.265,66.57,66.835,24,5.784
materialA150,0.011,66.847,66.858,2,9.245
builds (1),0.233,66.869,67.102,22,15.009
BridgeSlope_Simple (1),1.078,67.113,68.191,98,14.497
Terrain,0.0,68.202,68.202,1,40.262
NPC-625,0.056,68.213,68.269,6,26.372
NPC-627,0.0,68.28,68.28,1,25.456
NPC-625,0.013,68.291,68.304,3,26.364
Terrain,0.011,68.325,68.336,2,39.441
NPC-625,0.035,68.347,68.382,5,26.351
Pavement_D_A (1),0.0,68.402,68.402,1,77.929
streetLight1Prefab (82),0.0,68.413,68.413,1,103.98
Pavement_D_A (1),0.0,68.424,68.424,1,62.585
Bush_d1_6x6x4_COL_PRIM_CAPSULE,0.012,68.435,68.447,2,86.777
PlantPot_D_V01,0.0,68.458,68.458,1,86.299
Pavement_D_A (1),0.033,68.469,68.502,4,67.594
Pavement_D_A,0.0,68.513,68.513,1,81.251
Bush_d1_6x6x4_COL_PRIM_CAPSULE,0.0,68.524,68.524,1,86.782
streetLight1Prefab (82),0.011,68.535,68.546,2,103.979
house8,0.0,68.557,68.557,1,105.047
Bush_d1_6x6x4_COL_PRIM_CAPSULE,0.012,68.568,68.58,2,86.77
PlantPot_D_V01,0.0,68.591,68.591,1,86.313
Bush_d1_6x6x4_COL_PRIM_CAPSULE,0.022,68.602,68.624,3,86.774
PlantPot_A (4),0.411,68.635,69.046,38,11.562
store2,0.422,69.057,69.479,39,54.005
New_NPC (30),0.0,69.49,69.49,1,20.88
store2,0.0,69.501,69.501,1,53.999
New_NPC (30),0.044,69.512,69.556,5,20.846
Terrain,0.0,69.567,69.567,1,44.252
PlantPot_A (4),0.334,69.578,69.912,31,12.089
Terrain,0.0,69.924,69.924,1,52.244
Sitting_NPC (4051),0.0,69.935,69.935,1,47.225
New_NPC (30),0.199,69.946,70.145,19,20.052
store2,0.0,70.157,70.157,1,54.105
New_NPC (30),0.022,70.168,70.19,3,19.749
store2,0.0,70.201,70.201,1,54.067
PlantPot_A (4),0.356,70.212,70.568,33,11.237
Terrain,0.078,70.578,70.656,8,16.16
PlantPot_A (4),0.033,70.668,70.701,4,11.963
Terrain,0.078,70.712,70.79,8,15.348
New_NPC (30),0.0,70.801,70.801,1,17.84
face_30,0.0,70.812,70.812,1,17.831
store2,0.022,70.823,70.845,3,53.325
New_NPC (30),0.0,70.856,70.856,1,17.775
Sitting_NPC (406),0.045,70.867,70.912,5,46.047
metalBench (6),0.0,70.923,70.923,1,46.233
face_30,0.165,70.934,71.099,16,17.172
Sitting_NPC (4051),0.0,71.11,71.11,1,45.947
store2,0.0,71.121,71.121,1,53.228
PlantPot_A (9),0.0,71.133,71.133,1,45.984
store2,0.211,71.144,71.355,20,54.606
Terrain,0.0,71.366,71.366,1,51.8
PlantPot_A (9),0.0,71.377,71.377,1,45.829
New_NPC (30),0.0,71.389,71.389,1,15.848
Sitting_NPC (406),0.0,71.4,71.4,1,45.243
New_NPC (30),0.011,71.411,71.422,2,15.919
metalBench (6),0.022,71.434,71.456,3,45.557
Sitting_NPC (406),0.1,71.467,71.567,10,44.981
face_30,0.0,71.578,71.578,1,15.227
store2,0.0,71.589,71.589,1,52.285
face_30,0.034,71.6,71.634,4,15.075
store2,0.0,71.645,71.645,1,52.171
face_30,0.255,71.656,71.911,24,14.509
metalBench (6),0.0,71.923,71.923,1,44.849
New_NPC (37),0.01,71.934,71.944,2,13.944
face_37,0.033,71.956,71.989,4,13.842
New_NPC (37),0.465,72.0,72.465,43,13.294
Terrain,0.0,72.477,72.477,1,29.101
New_NPC (30),0.022,72.488,72.51,3,12.947
Terrain,0.044,72.522,72.566,5,33.967
New_NPC (30),0.122,72.578,72.7,12,12.459
Terrain,0.433,72.711,73.144,40,17.361
Bench (1),0.033,73.155,73.188,4,28.656
Sitting_NPC (422),0.0,73.2,73.2,1,28.652
Bench (1),0.044,73.211,73.255,5,28.825
Sitting_NPC (410),0.023,73.266,73.289,3,28.651
Bench (1),0.133,73.3,73.433,13,28.709
Terrain,0.0,73.444,73.444,1,28.424
Bench (1),0.012,73.453,73.465,2,28.395
Terrain,0.0,73.476,73.476,1,22.224
New_NPC (30),0.0,73.487,73.487,1,9.783
Terrain,0.044,73.498,73.542,5,18.337
New_NPC (30),0.012,73.553,73.565,2,9.459
Terrain,0.1,73.576,73.676,10,19.088
New_NPC (30),0.077,73.687,73.764,8,8.909
Bench (2),0.098,73.776,73.874,10,27.676
Bench (3),0.011,73.885,73.896,2,24.964
Sitting_NPC (428),0.0,73.907,73.907,1,27.94
New_NPC (37),0.356,73.919,74.275,33,7.959
Terrain,0.411,74.286,74.697,38,6.231
New_NPC (30),0.266,74.709,74.975,25,5.709
Terrain,0.223,74.986,75.209,21,27.333
Bench (3),0.0,75.22,75.22,1,23.69
Terrain,0.0,75.231,75.231,1,19.835
New_NPC (37),0.0,75.242,75.242,1,4.775
Terrain,0.0,75.253,75.253,1,23.968
New_NPC (37),0.178,75.264,75.442,17,4.572
face_37,0.0,75.453,75.453,1,4.41
New_NPC (37),0.3,75.464,75.764,28,4.041
Terrain,0.022,75.775,75.797,3,16.7
New_NPC (30),0.344,75.808,76.152,32,3.011
Terrain,0.033,76.164,76.197,4,13.859
face_30,0.089,76.208,76.297,9,2.456
Terrain,0.364,76.308,76.672,34,4.104
PlantPot_A (4),0.579,76.684,77.263,53,4.654
store2,0.011,77.275,77.286,2,46.945
Bench (2),0.333,77.297,77.63,31,24.608
Bench (3),0.0,77.641,77.641,1,21.696
Terrain,0.0,77.652,77.652,1,20.2
Bench,0.0,77.663,77.663,1,27.036
Terrain,0.0,77.675,77.675,1,22.479
Bench (1),0.0,77.686,77.686,1,24.814
Terrain,0.189,77.697,77.886,18,22.78
Bench (1),0.066,77.897,77.963,7,24.514
Terrain,0.132,77.975,78.107,13,5.715
PlantPot_A (4),0.012,78.118,78.13,2,4.156
Terrain,0.166,78.141,78.307,16,4.785
PlantPot_A (4),0.0,78.318,78.318,1,3.865
Terrain,0.877,78.329,79.206,80,22.83
Bench (1),0.0,79.217,79.217,1,23.409
Sitting_NPC (410),0.022,79.228,79.25,3,23.337
Sitting_NPC (422),0.01,79.263,79.273,2,23.298
Sitting_NPC (410),0.201,79.283,79.484,19,23.366
Sitting_NPC (422),0.011,79.494,79.505,2,23.225
